日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
113/11/28,338,"11,192",33.2,33.65,32.75,32.9,-0.3,313
113/11/27,362,"12,123",34.0,34.0,32.6,33.2,-0.65,357
113/11/27,362,"12,123",34.0,34.0,32.6,33.2,-0.65,357
113/11/26,697,"23,670",33.7,34.2,33.7,33.85,0.15,544
113/11/26,697,"23,670",33.7,34.2,33.7,33.85,0.15,544
113/11/25,382,"12,764",33.0,33.9,33.0,33.7,0.7,300
113/11/25,382,"12,764",33.0,33.9,33.0,33.7,0.7,300
113/11/22,181,"5,992",33.25,33.25,33.0,33.0,0.1,190
113/11/22,181,"5,992",33.25,33.25,33.0,33.0,0.1,190
113/11/21,142,"4,665",32.9,33.05,32.65,32.9,0.0,227
113/11/21,142,"4,665",32.9,33.05,32.65,32.9,0.0,227
113/11/20,170,"5,602",32.95,33.15,32.75,32.9,0.0,170
113/11/20,170,"5,602",32.95,33.15,32.75,32.9,0.0,170
113/11/19,249,"8,189",33.1,33.15,32.9,32.9,-0.1,446
113/11/19,249,"8,189",33.1,33.15,32.9,32.9,-0.1,446
113/11/18,385,"12,740",33.65,33.75,32.9,33.0,-0.5,530
113/11/18,385,"12,740",33.65,33.75,32.9,33.0,-0.5,530
113/11/15,949,"31,926",33.25,33.95,33.2,33.5,0.5,985
113/11/15,949,"31,926",33.25,33.95,33.2,33.5,0.5,985
113/11/14,759,"25,292",33.2,33.75,33.0,33.0,0.0,822
113/11/14,759,"25,292",33.2,33.75,33.0,33.0,0.0,822
113/11/13,320,"10,554",32.9,33.1,32.6,33.0,0.1,421
113/11/13,320,"10,554",32.9,33.1,32.6,33.0,0.1,421
113/11/12,754,"24,868",33.35,33.5,32.55,32.9,-0.15,950
113/11/12,754,"24,868",33.35,33.5,32.55,32.9,-0.15,950
113/11/11,"1,016","33,303",32.3,33.2,32.1,33.05,1.1,834
113/11/11,"1,016","33,303",32.3,33.2,32.1,33.05,1.1,834
113/11/08,112,"3,580",32.1,32.25,31.9,31.95,-0.2,345
113/11/08,112,"3,580",32.1,32.25,31.9,31.95,-0.2,345
113/11/07,121,"3,891",31.85,32.25,31.85,32.15,0.3,148
113/11/07,121,"3,891",31.85,32.25,31.85,32.15,0.3,148
113/11/06,103,"3,294",31.7,32.1,31.7,31.85,0.2,156
113/11/06,103,"3,294",31.7,32.1,31.7,31.85,0.2,156
113/11/05,64,"2,019",31.75,31.75,31.65,31.65,-0.05,316
113/11/05,64,"2,019",31.75,31.75,31.65,31.65,-0.05,316
113/11/04,183,"5,782",31.6,31.8,31.55,31.7,0.1,262
113/11/04,183,"5,782",31.6,31.8,31.55,31.7,0.1,262
113/11/01,232,"7,316",31.0,31.9,31.0,31.6,-0.25,391
113/11/01,232,"7,316",31.0,31.9,31.0,31.6,-0.25,391
113/10/30,116,"3,696",32.3,32.3,31.85,31.85,-0.15,290
113/10/30,116,"3,696",32.3,32.3,31.85,31.85,-0.15,290
113/10/29,197,"6,308",32.25,32.25,31.9,32.0,-0.4,469
113/10/29,197,"6,308",32.25,32.25,31.9,32.0,-0.4,469
113/10/28,214,"6,904",32.6,32.65,32.05,32.4,-0.1,234
113/10/28,214,"6,904",32.6,32.65,32.05,32.4,-0.1,234
113/10/25,146,"4,702",32.15,32.5,32.1,32.5,0.25,247
113/10/25,146,"4,702",32.15,32.5,32.1,32.5,0.25,247
113/10/24,181,"5,842",32.15,32.5,32.15,32.25,0.0,187
113/10/24,181,"5,842",32.15,32.5,32.15,32.25,0.0,187
113/10/23,94,"3,033",32.6,32.6,32.25,32.25,-0.2,125
113/10/23,94,"3,033",32.6,32.6,32.25,32.25,-0.2,125
113/10/22,182,"5,908",32.45,32.65,32.35,32.45,0.05,195
113/10/22,182,"5,908",32.45,32.65,32.35,32.45,0.05,195
