股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
8924,大田,2000/02/09,上櫃,運動休閒,https://www.cnyes.com/twstock/8924,53.80,+0.40,+0.75%,鉅亨
8927,北基,2000/11/02,上櫃,油電燃氣業,https://www.cnyes.com/twstock/8927,45.75,+0.75,+1.67%,鉅亨
8928,鉅明,2001/02/02,上櫃,運動休閒,https://www.cnyes.com/twstock/8928,29.15,0.00,+0.00%,鉅亨
8929,富堡,2000/11/30,上櫃,其他業,https://www.cnyes.com/twstock/8929,16.90,-0.05,-0.29%,鉅亨
8930,青鋼,2000/12/06,上櫃,鋼鐵工業,https://www.cnyes.com/twstock/8930,31.00,-0.15,-0.48%,鉅亨
8931,大汽電,2001/05/10,上櫃,油電燃氣業,https://www.cnyes.com/twstock/8931,52.90,+0.20,+0.38%,鉅亨
8932,智通*,2001/03/29,上櫃,其他業,https://www.cnyes.com/twstock/8932,145.00,-1.50,-1.02%,鉅亨
8933,愛地雅,2001/03/28,上櫃,運動休閒,https://www.cnyes.com/twstock/8933,6.46,-0.12,-1.82%,鉅亨
8935,邦泰,2002/03/26,上櫃,其他業,https://www.cnyes.com/twstock/8935,15.15,-0.15,-0.98%,鉅亨
8936,國統,2002/09/09,上櫃,其他業,https://www.cnyes.com/twstock/8936,50.50,-0.20,-0.39%,鉅亨
8937,合騏,2002/10/29,上櫃,其他業,https://www.cnyes.com/twstock/8937,137.00,-4.50,-3.18%,鉅亨
8938,明安,2002/12/02,上櫃,運動休閒,https://www.cnyes.com/twstock/8938,66.40,-0.20,-0.30%,鉅亨
8941,關中,2003/01/20,上櫃,居家生活,https://www.cnyes.com/twstock/8941,53.00,0.00,+0.00%,鉅亨
8942,森鉅,2003/05/16,上櫃,其他業,https://www.cnyes.com/twstock/8942,45.40,+0.10,+0.22%,鉅亨
9949,琉園,2003/11/21,上櫃,文化創意業,https://www.cnyes.com/twstock/9949,17.20,+0.20,+1.18%,鉅亨
9950,萬國通,2004/02/17,上櫃,塑膠工業,https://www.cnyes.com/twstock/9950,12.25,-0.10,-0.81%,鉅亨
